1	﻿怎么更改花呗手机号码	我的花呗是以前的手机号码，怎么更改成现在的支付宝的号码手机号	1
2	也开不了花呗，就这样了？完事了	真的嘛？就是花呗付款	0
3	花呗冻结以后还能开通吗	我的条件可以开通花呗借款吗	0
4	如何得知关闭借呗	想永久关闭借呗	0
5	花呗扫码付钱	二维码扫描可以用花呗吗	0
6	花呗逾期后不能分期吗	我这个 逾期后还完了 最低还款 后 能分期吗	0
7	花呗分期清空	花呗分期查询	0
8	借呗逾期短信通知	如何购买花呗短信通知	0
9	借呗即将到期要还的账单还能分期吗	借呗要分期还，是吗	0
10	花呗为什么不能支付手机交易	花呗透支了为什么不可以继续用了	0
11	在吗，双***有临时花呗额度吗	花呗临时额度到时间怎么办	0
12	我什么时候开通了花呗	查我什么时候用过，花呗	0
13	花呗每月还了最低还款后还会有万分之五的利息吗	花呗每个月最低还款怎么算	0
14	我想用蚂蚁借呗怎么用不了	蚂蚁借呗设置了一次性还款，现在想分期还款，怎么操作	0
15	花呗也不能用了	花呗没用过	0
16	花呗的安全没有验证成功	花呗安全验证没通过怎么回事	1
17	我开通不了借呗	我要申请借呗	0
18	借呗还款了，额度未恢复	借呗还款后额度没有恢复还显示借款	1
19	就是我花呗忘记还款了。逾期一天。有事吗	花呗账单在到期当天还款是逾期吗	0
20	我问你我借呗怎么要还钱	怎么一次性还蚂蚁借呗	0
21	是否有花呗就不可以借呗	不实用花呗就没有借呗吗	0
22	闲鱼可以使用花呗吗	花呗可以在闲鱼上面交易吗	1
23	花呗可以买手机吗	花呗逾期一天可以么	0
24	借呗每月还款时间	借呗多少天还款	0
25	花呗更改绑定银行卡	如何更换花呗绑定银行卡	1
26	人脸验证开通花呗	花呗怎么验证	0
27	借呗可以提前还第一期吗	蚂蚁借呗借款可以提前一次性还清吗	0
28	花呗付款成功为何美团显示支付超时	美团订单没显示付款成功但是花呗显示付了三遍订单	0
29	花呗我已经还了，现在要还借呗	我上个月已经还过的一笔，现在退回来的钱怎么还直接退回花呗	0
30	国外账户可以开通借呗吗	借呗逾期还能开通吗	0
31	但是我银行卡支付的为什么退回花呗	我这件衣服钱款为什么退回花呗	0
32	花呗***期免息	蚂蚁花呗***期免息什么意思	1
33	已经还了，借呗还能用吗	借呗逾期后还能借款吗	0
34	开通花呗不用的话会有费用吗	开通花呗不用，会不会产生费用	1
35	花呗怎样邀请好友	邀请好友开通借吧怎样邀请的	0
36	我没有这个蚂蚁借呗	我的蚂蚁借呗用不了了怎么回事？没有逾期	0
37	我昨天欠借呗多少钱	我的借呗欠了多少钱	0
38	为什么我不能开通花呗	开通花呗提示安全不通过	0
39	借呗提额输入密码了怎么还没提额	借呗提额还需要输入支付密码吗	0
40	我没给自己用花呗充话费，怎么自动充	这几天用花呗交了三次话费都没充上 怎么回事	0
41	花呗付款后，扣款成功为什么显示未支付	支付宝花呗扣款，商家显示未扣款	0
42	我蚂蚁借呗放款没有到账	借呗还款为什么没有到帐	1
43	上个月都用花呗，这个月也还款了，怎么还不能提额？是不是每个月都要用了一定的额度，才能提额	这个钱是***月的，退款之前我已经还清花呗了，现在不知怎么才能使用，现在买东西，花呗都是在我额度***里面扣的	0
44	开通花呗收款后，符合什么条件的商家或买家才可以使用花呗交易	我是商家，我已经申请了开通蚂蚁花呗和信用卡收款，为什么还是不可以	0
45	信用度多少才能用花呗	蚂蚁花呗多少积分才可以用	0
46	刚消费的，扣卡里的钱，没扣花呗的钱，怎么回事	我银行里有钱，怎么证明是花呗付的款	0
47	如何在花呗删除账单记录	花呗为什么说删除交易记录	0
48	花呗怎么付款不鸟了	帮忙看一下我花呗怎么用不了	1
49	为什么我的花呗一直没调	为什么我的花呗没有分期的功能	0
50	花呗临时额度可以分期还吗	临时额度和实际额度可以按一个账单一起分期还款吗	0
51	为啥我花呗叫话费都交不了	花呗暂时不能交话费 还是以后都不可以了	0
52	能用花呗收款收顾客的钱吗	私企可以花呗收款吗	0
53	蚂蚁借呗可以延长分期	可以晚***天还蚂蚁借呗吗	0
54	没有借呗怎么开通借呗	有没有什么办法可以自己开通蚂蚁借呗	0
55	商家二维码怎么开通花呗支付宝	怎么说不支持花呗开通商户	0
56	她的花呗已经逾期了	我的花呗逾期了 我现在一次性还完了	0
57	在支付宝找不到花呗	可我在支付宝花呗里没看到进账	0
58	支付宝花呗分期还款怎么提前还清	蚂蚁花呗分期付款可以全部提前还款吗	1
59	注销了一个花呗账号，新账号是否还能再开通花呗了	把以前的帐号注销，现在这个能开通花呗吗	1
60	花呗账单还没出，想提前还了怎么还	提前还花呗部分	0
